short_descriptions,priority
regarding training otsuka system lifecycle awareness olt ct ots slc awareness,MEDIUM
ch add and activate company email addresses,CRITICAL
requested applications still not showing in software center,MEDIUM
alliance matrix create for qa,LOW
re approval request master list,MEDIUM
gpv helpdesk distribution list request,MEDIUM
active directory and citrix,MEDIUM
unable to access the customer portal with intranet account,LOW
cz renew acces to share disk w,CRITICAL
after upgrading to windows laptop restarts without any error message,LOW
get one day warning to approve problem record but approvals have already expired,LOW
hu sap roles,MEDIUM
user hector guerrero cnt gob ec getting error – user facing sso error while login,LOW
docking station still not working,LOW
snmpagent uk pfizer com notresponding unix,LOW
user can t access to sap netweaver,MEDIUM
it corner concierge,LOW
eura certificate validation failure,MEDIUM
it corner concierge,LOW
new mam users,MEDIUM
mirf technical issues question,MEDIUM
vpn unable to connect,LOW
it corner concierge,LOW
hardware screen is damaged,LOW
failed to install software update through software center,LOW
p nun nokia authentication repeat windows login failures,MEDIUM
hcp treatnow certification,MEDIUM
emea pfizer com devcapacity monitor disk utilization for c exceeds devcapacity intel,MEDIUM
it corner concierge,LOW
unable to log into citrix,MEDIUM
docker login to artifactory with credentials,MEDIUM
mdm master data management support,LOW
please change last name following user,MEDIUM
onsite support how to fix pc hardware issues,LOW
nokiameetings unable to access webex app and browser,LOW
snmpagent emea pfizer com notresponding intel,LOW
teams other concerns,LOW
camera in my laptop does not work,LOW
bitlocker recovery key asking again and again every restart,LOW
it corner concierge,LOW
pl lvm pxe error,LOW
sap logistics unable to launch,LOW
pdf file not opening on ms edge,MEDIUM
jabber sso login issue,LOW
bitlocker unable to set pin after using the recovery key,MEDIUM
pams cyberark other issue error code or no error code,LOW
qc login not working,LOW
please renew netscaler gateway certificate for user,MEDIUM
rs autorization needed following,MEDIUM
contact default currency in icc,LOW
hardware laptop ac adapter charger not working properly,LOW
mk assign sap roles in system,CRITICAL
hvd cannot start hvd,LOW
no access to power bi,LOW
the vpn connection failed due to unsuccessful domain name resolution,LOW
ci rule update for nigeria fo zero concentrate price,MEDIUM
unable to remove adjustment in gross adjustment wb,LOW
hardware power cable not working,LOW
scan and automatic bsd collection not working,MEDIUM
user grant crombie spark co nz getting sso login error,LOW
nokiameetings webex add in in outlook gone,LOW
cannot delete stack,LOW
unable to login to the integra,LOW
p nun nokia exploit multiple exploit types against single destination,MEDIUM
wbs company code error,LOW
amer pfizer com down intel,HIGH
unable to access sap bpp,LOW
update on april broke ethernet interface on docking station,LOW
unable to assign case,LOW
unable to install testcenter application version from spirent due to blocked by symantec anti virus,LOW
veeva engage is not loading,MEDIUM
report extraction for outbound us dn,LOW
incorrect company name associated with sus org id,LOW
new user cannot access to hvd environment,LOW
unable to connect server,HIGH
pc performance stop when invisible application interrupt,LOW
proj id gb,LOW
vpn next token code,LOW
unable to send starbucks gift card,MEDIUM
hr e mail assignment,MEDIUM
cannot connect mirrordb at emea nsn net net,LOW
user needs hcp name changed,MEDIUM
mfa unable to connect to vpn using mfa,LOW
spc quality monitoring,MEDIUM
command is not showing in drive for file no,LOW
hardware laptop charger not working pin bends,LOW
p nun nokia recon local dns scanner,MEDIUM
adrian gale au otsuka com gport new user,MEDIUM
account configuration for user redli,LOW
deletion of master data of flavour,CRITICAL
bios enable virtualization,LOW
unable to install ras client,LOW
unable to connect to global china beijing,LOW
repermission the home directories for user,MEDIUM
rp nsa unix request,LOW
issue bmc remedy is giving server error,LOW
user nuno nobre ifisicas com – repeating password issue,LOW
snmpagent emea pfizer com notresponding intel,LOW
fw your incident has been registered,MEDIUM
server ping is not working we are getting timed out error,HIGH
ch access to shared mailbox,MEDIUM
unable to export report from the srm,LOW
it corner concierge,LOW
jabber pc unable to sign in into jabber,LOW
active directory and citrix,MEDIUM
docker demon is not running on,MEDIUM
onedrive for business unable to sync onenote notebook stored in onedrive,LOW
attach business role,CRITICAL
please send us the certificate of argiris mamas for anyconnect vpn since sfa is not working anymore and user needs to connect remotely,CRITICAL
netwrix auditor inactive users in active directory report mocr otsuka com,MEDIUM
anyconnect vpn issues after windows upgrade,LOW
access to rfa – asset removal from ledger category,CRITICAL
please copy today data to target cobra cubes,MEDIUM
proactive outreach general,MEDIUM
hvd access issue error cannot start desktop,MEDIUM
getting vmt calls through personnel numbers,LOW
unable to open microsoft team meeting,MEDIUM
fnokia support portal unable to log in,LOW
software fmo issue opening my it service portal pdf files,LOW
sac viewer access,MEDIUM
bg please add user to active directory group g sdo server user rw,MEDIUM
mfa invalid credentials unable to connect to vpn via mfa,MEDIUM
windows missing local admin rights,LOW
it corner concierge,LOW
nl unable to open software center,LOW
nsn network support hp wlan incident lan wlan down bangalore office,HIGH
gr airwatch access,MEDIUM
unable to open tool,LOW
dn dn is new pi – and unit price and total is same,LOW
it corner concierge,LOW
jabber phone services call feature is not working,LOW
mc webex meeting center your current webex site is not enabled for use with microsoft office,MEDIUM
tcm prime name changes,LOW
zsi saftlt saf t access for daiva and olga,MEDIUM
it corner concierge,LOW
customer code gr posting issue uae,LOW
pl access for kamil zbrzezniak to raportypl cchellenic com,MEDIUM
it unlock airwatch account,CRITICAL
how to use phone to dial into a webex meeting for audio connection,LOW
p nun nokia exploit multiple exploit types against single destination,MEDIUM
it change in po rs,MEDIUM
unable to download sw from the software supply tool,LOW
unable to get into orion,MEDIUM
mk modify calendar,MEDIUM
server issue in mgate,MEDIUM
it corner concierge,LOW
cpo ro inside details of smp,LOW
software fmo high resources usage,LOW
user ali amin airbus com has not yet associate in sus,LOW
service type change request,LOW
ms teams training,MEDIUM
cannot access at pages on confluence,LOW
nsn network support hp wlan incident sd no info byod slow connection,LOW
software center empty list,LOW
p nun nokia multiple failed login attempts with existing privileged account,HIGH
citrix other requests,LOW
ch label printer installation,MEDIUM
nira rejecting email extension,LOW
unable to login to cisco anyconnect,LOW
prm request to add email domain in nam,LOW
kenya and mali country code failed due to sme email not found in email distribution list,MEDIUM
amer pfizer com cpqdaaccel intel,HIGH
bso rights for ga finance folder,CRITICAL
fw are their network issues grade and grasp are down for people in princeton,MEDIUM
laptop restarts very often due to memory issue,LOW
software microsoft project online does not show any progress when installing,LOW
bmc remedy unable to login arerr cannot establish a network connection to the ar system server,MEDIUM
inventory id prompt already exists,LOW
unable to login to livelink mdms application,LOW
zfi excise post masterdata update,CRITICAL
case has been closed subj no default cost center,LOW
tr vpn error message anyconnect not able to establish connection specified secure gateway,LOW
windows to windows upgrade query,LOW
remove company contact for telecomunicaçoes de são paulo s a sap id,LOW
support portal user d borntrager am comm com – repeating password issue,LOW
it rename user in ad,MEDIUM
p nun nokia recon excessive firewall denies from local host preceded by p nun nokia recon aggressive local scanner detected,MEDIUM
support portal assistance request,MEDIUM
software fmo bsod,LOW
i buy approval list name missing,LOW
access to t folder,HIGH
problem with legacy alu accounts,LOW
wfh capability capacity monitoring metrics,MEDIUM
outlook connection issue by vpn,LOW
sap access for michail koutakis,CRITICAL
fi not able to login into domino tool for firewall request,LOW
unable to unmute mic on time,MEDIUM
p nun nokia authentication repeat windows login failures,MEDIUM
nct permission require for customer accounts,LOW
user not working,LOW
hvd not starting,LOW
new location to otm,LOW
request incomplete fulfillment of service request,LOW
p nun nokia system device has stopped sending events offense generation,MEDIUM
not able to login in to vdi,LOW
hart steve wants to access global pharmacovigilance,MEDIUM
admin ong web password does not work with emea app alcatel lucent com,LOW
cares account modification,LOW
user not viisible in the planning board,LOW
support portal add julian jones nokia com as company contact,LOW
virtual pc unable to log in to putty,LOW
stop bw reporting refresh for master data due to master data changes relevant ssf requests,MEDIUM
laptop not turning on,LOW
user lren freedommobile ca getting repeat password issue,LOW
it corner concierge,LOW
ipm not able to upload site creation file,LOW
unable to login to csl,LOW
the vpn connection failed due to unsuccessful domain name resolution,LOW
oss user and connection open for,MEDIUM
unauthorized charges for your subscription,LOW
mk request to blacklist domain,MEDIUM
monika malgorzata michajlowa to be assigned to respective teams without removing existing accesses,CRITICAL
it corner concierge,LOW
it corner concierge,LOW
nokiameetings unable to access webex,LOW
gq edms user access request new account request harsha kore,MEDIUM
unable to print from laptop,MEDIUM
continuous performance cp tool on e learn not working,MEDIUM
pl query access,MEDIUM
unable to open sap gui logon pad after update sap gui rollout,LOW
